,image_id,grade,pos_x,pos_y,width,height
26618,83443.jpg,A,364,146,376,280
28216,91977.jpg,A,301,98,524,451
18833,04603.jpg,A,455,39,458,377
35297,75317.jpg,A,127,40,810,610
39451,38252.jpg,A,325,93,491,526
12860,97085.jpg,A,3,295,519,376
14461,79859.jpg,C,42,147,495,458
20606,58239.jpg,B,515,123,446,375
23448,71408.jpg,C,274,121,481,352
15950,70059.jpg,A,592,152,409,476
30206,62503.jpg,A,279,410,453,281
20267,25848.jpg,A,495,278,395,416
4013,37226.jpg,A,1,3,782,717
44935,60093.jpg,B,482,268,310,273
1209,36174.jpg,B,243,10,506,640
7532,66521.jpg,C,464,215,346,311
25399,84035.jpg,B,557,161,435,498
42214,72657.jpg,A,503,189,277,242
3845,45720.jpg,A,17,2,765,718
33581,61446.jpg,A,368,243,273,262
3547,93178.jpg,A,70,2,826,718
32077,80972.jpg,A,234,85,430,427
42928,56216.jpg,B,451,321,319,223
7676,05168.jpg,B,499,225,326,282
9087,33541.jpg,C,390,392,300,224
12880,59112.jpg,A,12,321,478,375
26704,47945.jpg,B,394,23,331,389
4181,25228.jpg,C,5,8,694,712
39525,84467.jpg,A,228,50,484,595
34223,92141.jpg,B,165,89,784,631
7696,38518.jpg,A,489,177,355,264
43896,59818.jpg,B,414,173,319,306
22937,88963.jpg,A,307,76,398,334
8135,06882.jpg,C,454,261,338,207
18314,70853.jpg,A,482,332,400,361
41755,86479.jpg,A,454,87,293,280
29086,37390.jpg,A,210,263,497,327
8805,85709.jpg,A,399,407,302,209
5153,36151.jpg,A,10,2,862,711
35700,79953.jpg,A,337,46,754,554
22286,70882.jpg,C,396,145,574,359
24,19742.jpg,A,347,133,502,511
32678,24443.jpg,A,370,329,259,223
6061,27281.jpg,A,19,0,844,720
4461,37681.jpg,B,6,1,704,719
16693,41407.jpg,C,498,81,488,594
31150,55879.jpg,A,389,213,328,341
32734,72347.jpg,A,415,240,260,235
35555,50711.jpg,A,219,100,690,534
20311,31915.jpg,A,503,56,435,400
39014,22755.jpg,A,300,200,500,395
14267,95941.jpg,A,0,165,564,482
7758,01071.jpg,C,526,178,333,263
42354,31502.jpg,B,470,304,312,233
40733,77522.jpg,A,535,399,223,199
6284,63631.jpg,A,513,110,507,554
5289,33384.jpg,A,42,20,732,700
26860,92137.jpg,C,388,143,390,299
9930,17875.jpg,A,448,366,251,209
33177,55484.jpg,A,379,262,264,231
25182,23152.jpg,A,527,126,417,429
12456,22619.jpg,A,174,200,339,331
20703,90772.jpg,A,557,267,397,333
29800,63179.jpg,C,258,226,425,356
38233,35047.jpg,B,457,150,314,317
32770,68064.jpg,A,375,385,270,263
1333,13313.jpg,B,22,158,591,521
26853,42807.jpg,A,379,42,441,348
41132,32796.jpg,A,490,25,284,251
33881,33703.jpg,B,355,210,338,295
38498,99946.jpg,B,462,49,371,300
42663,44590.jpg,B,458,299,363,270
6447,56960.jpg,A,399,101,507,533
14947,13188.jpg,A,69,193,475,424
18706,74509.jpg,A,437,65,460,378
11728,71205.jpg,B,28,245,429,338
25156,71635.jpg,A,210,174,391,366
25608,46572.jpg,A,426,136,297,375
22667,46545.jpg,C,346,120,407,363
5805,88191.jpg,C,29,6,828,714
32159,30005.jpg,A,240,184,341,403
43936,94077.jpg,A,350,186,481,331
26106,79949.jpg,A,327,122,397,285
8219,83487.jpg,A,367,284,369,286
42433,09086.jpg,A,502,57,298,365
4347,41501.jpg,B,7,12,769,708
4855,16976.jpg,C,35,1,796,707
43420,88461.jpg,A,510,393,299,222
25648,60867.jpg,A,648,147,313,398
29307,95017.jpg,B,292,88,399,398
2518,26420.jpg,A,101,208,385,445
35634,66934.jpg,A,287,101,646,541
1077,14436.jpg,C,196,104,539,538
23313,02027.jpg,A,278,208,423,336
1290,44504.jpg,A,227,117,482,535
6340,12255.jpg,C,284,189,498,531
38610,95473.jpg,C,456,106,305,370
41025,88157.jpg,A,497,107,235,277
22539,07846.jpg,A,257,62,456,349
39291,32071.jpg,B,283,27,535,552
21334,05114.jpg,B,434,60,480,399
28113,04790.jpg,A,369,178,442,335
34422,22276.jpg,A,258,27,703,582
31390,73128.jpg,A,428,141,258,211
18740,48496.jpg,B,479,315,457,358
9196,45428.jpg,C,419,57,322,279
25160,94967.jpg,B,147,143,390,349
28828,09126.jpg,A,308,264,377,300
42066,88811.jpg,A,472,338,298,207
36212,77695.jpg,A,447,40,353,313
8356,63572.jpg,A,450,316,245,235
24047,25876.jpg,B,792,151,342,411
39219,45631.jpg,A,191,147,629,490
28993,57921.jpg,C,285,200,399,365
6764,33000.jpg,C,431,15,715,633
6505,30722.jpg,A,414,192,418,528
6690,53897.jpg,C,358,3,618,517
36342,87040.jpg,B,477,166,345,289
22453,15805.jpg,A,258,106,453,352
11697,19596.jpg,B,111,372,421,274
4597,22596.jpg,B,4,10,919,685
5593,29964.jpg,A,0,5,637,681
27465,83883.jpg,C,325,336,490,384
34570,32863.jpg,A,271,75,682,564
26829,45801.jpg,A,324,63,466,359
33112,44869.jpg,A,354,369,251,275
38939,36054.jpg,A,378,408,357,265
36402,55696.jpg,A,527,473,292,247
35925,91813.jpg,A,156,63,713,643
27066,47778.jpg,A,274,346,437,335
469,44759.jpg,A,270,189,467,458
16222,70739.jpg,C,407,74,482,525
37814,48407.jpg,B,513,194,388,285
517,54111.jpg,B,269,70,504,577
15602,67510.jpg,A,431,174,538,513
2474,01352.jpg,A,62,247,385,375
39498,58185.jpg,A,209,141,614,476
25583,20809.jpg,A,496,236,368,413
31629,97959.jpg,A,416,170,276,188
1385,06462.jpg,B,169,37,582,569
30694,38883.jpg,B,581,16,443,226
34719,74370.jpg,A,290,79,655,641
31893,26482.jpg,A,255,31,375,308
22368,57790.jpg,A,417,280,444,305
20049,35981.jpg,B,478,144,465,340
40882,81328.jpg,A,496,268,241,214
35635,02234.jpg,B,299,104,617,569
14162,31782.jpg,A,54,28,462,542
5786,59898.jpg,B,7,8,722,712
6214,14644.jpg,A,383,54,510,652
23973,53240.jpg,B,623,170,368,351
9164,67984.jpg,B,348,247,383,262
19209,13263.jpg,A,481,153,451,413
40826,15813.jpg,A,516,135,278,230
42816,17348.jpg,A,447,241,342,265
41601,20211.jpg,B,496,139,281,251
14705,64075.jpg,A,15,134,536,399
14937,70390.jpg,A,0,83,609,536
5516,24397.jpg,C,7,6,664,714
24401,70085.jpg,B,563,144,345,394
18196,81113.jpg,B,432,77,494,348
41994,14145.jpg,B,453,102,314,291
8026,98010.jpg,A,476,216,354,304
29573,98016.jpg,A,269,295,421,336
19872,11536.jpg,A,501,107,446,347
37750,96686.jpg,A,591,71,265,369
18189,45610.jpg,B,466,260,473,320
24559,82849.jpg,C,521,155,371,403
411,06956.jpg,A,243,132,518,493
8293,01526.jpg,A,485,108,253,271
20982,10544.jpg,A,551,358,398,320
1784,51013.jpg,B,301,164,475,445
39400,12878.jpg,A,306,42,553,554
169,76018.jpg,A,307,65,519,547
28932,04851.jpg,C,258,310,403,319
9113,99587.jpg,A,392,207,311,264
28019,04474.jpg,B,356,209,387,365
11753,73620.jpg,A,167,234,306,255
5570,29596.jpg,B,8,6,782,714
37783,64003.jpg,A,557,196,300,262
16942,42912.jpg,A,596,178,378,471
10254,87327.jpg,A,437,375,302,252
34349,00839.jpg,A,103,63,801,657
15889,31654.jpg,A,399,12,471,452
1380,23742.jpg,A,175,4,588,537
16733,38270.jpg,A,553,6,524,467
20293,15207.jpg,A,489,275,410,295
44881,98524.jpg,A,436,339,368,326
15365,65251.jpg,A,370,92,583,536
26166,25131.jpg,C,366,186,354,291
8154,42636.jpg,C,502,187,297,278
22410,65178.jpg,A,187,111,546,416
20663,02646.jpg,A,521,62,428,348
42135,23816.jpg,B,482,282,274,245
13451,19105.jpg,B,36,102,397,436
9638,80978.jpg,C,426,288,297,242
44247,84726.jpg,A,386,247,303,296
27676,62789.jpg,C,252,225,484,362
2955,18593.jpg,A,3,1,1023,719
18732,49346.jpg,A,417,251,514,382
42230,39314.jpg,A,452,253,314,242
41221,35931.jpg,A,502,303,213,219
17243,62021.jpg,A,482,12,451,413
24700,60475.jpg,B,280,151,452,389
17311,67455.jpg,A,478,61,427,448
17292,97745.jpg,A,530,194,420,410
10673,81097.jpg,A,449,242,286,246
31301,99223.jpg,B,435,204,237,248
34083,87958.jpg,A,179,56,845,622
16548,54625.jpg,B,377,63,494,487
10587,11487.jpg,A,425,242,319,243
25791,04532.jpg,A,407,75,440,328
14360,35623.jpg,A,0,205,533,430
26875,45863.jpg,A,317,89,445,349
35376,57180.jpg,A,267,51,631,576
14336,94041.jpg,C,60,176,519,419
3072,98391.jpg,A,29,6,841,714
3665,26796.jpg,A,115,4,860,716
42311,77389.jpg,B,446,287,298,213
23540,47792.jpg,C,361,44,402,385
21109,91293.jpg,C,479,92,453,335
6445,83874.jpg,A,346,250,519,470
27550,00684.jpg,A,361,349,426,322
17093,10102.jpg,C,559,161,417,437
33372,73738.jpg,A,418,269,227,254
20865,42865.jpg,A,446,64,432,381
1942,35940.jpg,A,121,126,574,549
34498,50881.jpg,A,147,7,625,648
43706,62837.jpg,B,495,259,322,263
26527,03228.jpg,C,366,87,413,392
7608,20252.jpg,C,481,259,324,327
12486,22856.jpg,B,116,252,377,334
27163,68796.jpg,A,303,80,461,402
22868,90085.jpg,C,255,60,433,346
2033,96923.jpg,A,201,92,575,476
18864,74093.jpg,A,462,134,448,444
22765,96547.jpg,A,299,107,430,342
3744,77457.jpg,C,10,2,735,718
35612,98224.jpg,A,283,36,611,559
20664,68441.jpg,B,502,102,411,343
6905,45813.jpg,A,312,44,647,567
24790,44671.jpg,C,369,166,411,332
42532,93784.jpg,C,452,362,304,242
28913,91282.jpg,C,217,253,453,317
26348,97332.jpg,A,366,229,389,287
32272,53997.jpg,A,267,48,399,329
42598,14502.jpg,B,440,182,356,265
17270,92409.jpg,A,637,231,480,477
32953,93274.jpg,A,390,237,230,235
27213,09551.jpg,A,335,211,460,347
15492,90747.jpg,A,312,96,504,611
9287,89552.jpg,A,432,220,295,225
2195,14900.jpg,B,249,29,480,578
929,02940.jpg,B,285,87,493,539
27376,93537.jpg,C,307,143,430,337
38240,34257.jpg,A,425,131,379,342
12105,51320.jpg,A,79,236,441,295
8602,16190.jpg,A,463,268,290,239
7756,29701.jpg,B,470,259,349,305
12270,33970.jpg,B,65,293,394,271
16910,10988.jpg,B,437,134,452,522
906,48449.jpg,A,273,102,537,524
20053,11301.jpg,A,409,208,510,385
21966,73146.jpg,A,371,82,550,345
39639,23251.jpg,A,267,133,555,424
15609,80680.jpg,A,385,135,585,526
4546,93287.jpg,B,13,10,776,710
28104,77773.jpg,A,362,190,402,401
33862,38568.jpg,B,388,321,282,323
9773,06123.jpg,A,469,253,270,238
18138,27262.jpg,A,466,37,433,391
12907,33654.jpg,A,3,127,479,382
28416,32137.jpg,A,330,195,406,377
33201,18723.jpg,A,363,354,269,271
3821,25884.jpg,B,10,4,995,716
30036,86040.jpg,A,369,304,441,285
2645,25165.jpg,A,69,256,381,395
42106,58686.jpg,B,487,238,312,250
8525,03124.jpg,B,413,228,306,241
9550,33743.jpg,A,413,405,306,233
32340,65667.jpg,A,283,46,401,330
835,03345.jpg,A,296,153,505,486
26826,67160.jpg,C,330,31,435,354
9743,60908.jpg,A,407,294,309,261
15751,04501.jpg,A,385,44,506,510
39164,18898.jpg,A,215,28,599,494
35464,35436.jpg,B,234,37,739,683
15702,65515.jpg,A,385,2,465,408
22869,75202.jpg,A,236,136,440,369
20214,90242.jpg,A,413,271,551,395
13533,86576.jpg,B,24,155,474,413
33213,50695.jpg,A,367,327,278,246
11845,20435.jpg,A,153,249,411,306
17885,26521.jpg,A,566,121,596,435
24163,91994.jpg,C,532,120,370,434
40454,58290.jpg,A,342,241,466,381
24037,71654.jpg,A,615,170,410,421
7903,55043.jpg,C,355,232,542,340
11156,78871.jpg,B,377,212,316,270
37355,63799.jpg,A,545,175,307,292
2379,31464.jpg,A,26,332,343,358
41717,28315.jpg,A,484,29,327,271
29541,98825.jpg,A,261,166,434,314
35965,91771.jpg,A,164,39,698,681
31727,73129.jpg,B,395,145,296,220
25609,10869.jpg,A,480,192,332,417
14464,42516.jpg,B,0,200,589,443
39932,69764.jpg,A,244,12,515,545
25906,94280.jpg,A,458,338,342,250
41045,94376.jpg,A,500,178,280,221
29311,43543.jpg,B,239,63,494,379
37774,13049.jpg,A,567,136,311,279
20868,25734.jpg,C,544,341,355,322
19759,21044.jpg,A,552,231,354,314
27763,88375.jpg,A,339,216,473,363
31280,81503.jpg,A,424,167,297,224
39775,51637.jpg,A,321,9,463,570
12011,14609.jpg,B,139,271,362,288
33658,65922.jpg,B,369,180,255,230
32563,33485.jpg,A,379,121,273,267
18433,67590.jpg,A,490,118,432,359
31946,51454.jpg,A,271,269,400,346
39892,91719.jpg,A,303,59,520,595
16603,52900.jpg,A,446,32,408,507
10093,42143.jpg,A,432,198,273,219
3241,97450.jpg,A,13,12,813,708
21238,01277.jpg,B,412,89,430,340
25871,10350.jpg,C,406,158,393,297
4670,45731.jpg,C,22,41,776,679
36337,13727.jpg,A,429,11,411,349
41749,19428.jpg,B,487,117,313,286
11901,92956.jpg,B,202,222,317,315
35197,92997.jpg,A,266,65,689,641
31339,85597.jpg,A,433,105,262,212
8994,99737.jpg,B,406,311,366,268
29314,42102.jpg,A,209,147,521,332
40825,33638.jpg,A,541,313,209,208
7988,39530.jpg,C,481,148,338,282
18659,12124.jpg,A,505,274,448,342
28549,25515.jpg,A,307,185,418,331
26105,41703.jpg,A,406,117,397,301
39998,71157.jpg,A,274,152,536,546
13914,89293.jpg,A,39,62,479,430
5984,15377.jpg,A,13,2,856,718
6569,25459.jpg,A,387,25,611,484
12876,30707.jpg,A,33,297,457,369
10736,02093.jpg,A,413,323,306,238
38040,47191.jpg,A,553,181,276,252
2709,19528.jpg,C,98,274,324,390
24601,11258.jpg,B,746,139,433,457
24192,37364.jpg,C,607,160,390,426
44753,72959.jpg,A,484,290,310,266
26019,63287.jpg,A,363,70,401,294
19994,44938.jpg,A,500,108,398,379
5524,61946.jpg,A,7,4,790,716
27532,34773.jpg,A,238,158,544,410
35483,04110.jpg,B,295,98,627,578
38289,15812.jpg,A,434,176,369,224
24227,68756.jpg,B,753,210,317,311
11694,50229.jpg,B,176,274,403,314
35336,64669.jpg,A,205,54,745,644
32550,91618.jpg,A,390,346,240,236
44714,06265.jpg,B,485,220,315,290
32895,18694.jpg,A,387,264,273,281
1993,56118.jpg,B,232,27,558,552
16667,36392.jpg,B,423,58,421,507
5963,66193.jpg,A,26,1,741,719
18785,08123.jpg,A,422,57,514,361
9647,90525.jpg,A,436,278,300,240
25346,68870.jpg,B,267,169,440,426
22482,27350.jpg,B,330,124,411,333
479,11638.jpg,A,211,79,518,548
25657,62416.jpg,A,680,166,296,354
23079,38998.jpg,B,200,82,491,378
9126,93601.jpg,B,384,446,317,224
17912,42206.jpg,B,610,53,465,494
39210,74364.jpg,A,314,212,450,395
8695,44755.jpg,A,400,335,316,224
6256,86345.jpg,A,377,28,570,500
38214,89617.jpg,B,424,91,380,371
23955,02536.jpg,B,699,147,381,376
9043,72171.jpg,A,432,246,286,220
4650,65559.jpg,C,1,4,688,716
44479,63790.jpg,A,496,296,266,249
15018,09316.jpg,A,0,105,565,431
4567,28701.jpg,B,10,7,624,633
30213,76630.jpg,A,325,394,407,295
19327,49327.jpg,A,423,181,492,397
386,34725.jpg,B,170,153,620,559
36967,08391.jpg,A,595,119,274,317
31705,38106.jpg,A,456,68,260,200
3737,32518.jpg,B,6,4,935,716
43449,08577.jpg,A,471,176,403,306
13029,68224.jpg,A,69,111,448,437
10720,37455.jpg,A,410,403,299,249
33294,47550.jpg,A,375,272,258,255
17545,46346.jpg,A,490,131,531,426
11403,41566.jpg,A,364,252,307,251
24480,60391.jpg,B,734,142,368,394
38393,97632.jpg,C,363,223,415,290
39165,27109.jpg,A,272,13,447,546
12492,25429.jpg,A,147,295,340,253
21877,71877.jpg,A,470,154,439,353
10884,13832.jpg,C,426,258,259,242
40584,18981.jpg,A,469,99,303,259
19219,09617.jpg,A,480,278,435,371
19690,99987.jpg,A,541,109,384,327
40257,79753.jpg,A,278,30,484,391
16057,06733.jpg,B,490,103,512,532
37955,65385.jpg,B,598,167,273,310
33237,32671.jpg,A,387,279,274,241
22573,86648.jpg,A,254,161,466,329
20799,83774.jpg,A,565,59,370,305
1318,68307.jpg,B,95,56,554,497
3944,13870.jpg,B,2,1,803,712
40743,76924.jpg,A,476,393,274,199
16879,73106.jpg,A,461,90,498,447
10681,73626.jpg,A,413,221,318,246
37313,04533.jpg,B,541,178,270,294
29352,53713.jpg,C,358,120,341,384
40995,37043.jpg,A,525,303,246,227
22621,18994.jpg,C,218,2,493,348
27217,80204.jpg,C,275,72,501,386
37866,71695.jpg,A,588,267,254,244
41867,71737.jpg,A,387,27,407,261
6961,80133.jpg,B,427,19,717,630
14051,88499.jpg,B,81,143,453,421
30682,70012.jpg,B,520,47,428,287
19454,11717.jpg,A,481,10,461,377
4714,89679.jpg,B,2,10,823,710
33893,99800.jpg,B,326,230,369,284
11049,00622.jpg,B,351,243,339,278
32632,17184.jpg,A,425,341,246,228
8748,44909.jpg,A,430,318,288,206
9217,52069.jpg,A,425,341,303,235
35004,98584.jpg,A,195,29,740,652
40548,19507.jpg,A,505,283,231,197
21206,70447.jpg,A,489,121,438,312
1388,04966.jpg,A,244,27,612,570
32144,33116.jpg,A,219,89,469,380
3282,17124.jpg,A,3,9,854,706
7967,01162.jpg,A,477,360,333,335
42406,80703.jpg,B,448,118,339,245
28232,11051.jpg,B,292,125,487,416
4626,73084.jpg,C,2,11,648,709
17307,89946.jpg,A,640,258,432,388
26833,25794.jpg,C,347,88,437,335
20739,11328.jpg,A,557,309,411,309
8918,20962.jpg,B,424,450,290,199
26627,49515.jpg,A,346,60,463,333
21584,94286.jpg,A,445,53,442,318
22793,24890.jpg,A,238,96,432,373
27234,96885.jpg,C,417,255,468,386
8068,12669.jpg,A,440,226,382,311
19221,80733.jpg,A,517,177,435,320
22441,55774.jpg,A,274,75,443,387
10865,49082.jpg,A,390,316,335,237
41258,40417.jpg,A,472,265,261,214
2177,01755.jpg,B,300,75,524,573
32754,86535.jpg,A,374,262,299,265
44615,73145.jpg,A,476,254,326,324
38971,35638.jpg,A,417,207,315,243
32732,54896.jpg,A,417,187,232,286
9628,21091.jpg,A,417,250,295,237
986,65934.jpg,B,255,40,578,497
38152,88988.jpg,B,604,149,238,323
15867,38978.jpg,B,530,31,413,474
21481,45245.jpg,C,410,61,472,340
25031,13627.jpg,B,793,152,364,418
9182,21705.jpg,A,413,379,324,256
32423,84347.jpg,A,228,196,431,364
7026,60154.jpg,B,418,31,727,582
37682,00476.jpg,B,576,31,320,301
24860,84208.jpg,B,432,185,406,357
31479,02658.jpg,A,395,288,305,234
37028,76694.jpg,A,573,166,296,214
3692,38971.jpg,C,7,9,919,711
14159,35465.jpg,A,25,130,459,433
7563,32834.jpg,A,496,190,314,276
22610,54857.jpg,C,283,117,416,300
1899,38713.jpg,A,332,11,439,616
3260,14604.jpg,A,6,6,941,714
14236,39352.jpg,B,23,143,527,496
44754,64639.jpg,A,459,269,341,305
26553,54866.jpg,A,349,130,373,287
15053,78817.jpg,C,0,142,557,451
21494,96330.jpg,C,414,176,420,292
34253,04099.jpg,A,241,43,751,664
5610,25549.jpg,A,8,5,731,682
1567,95973.jpg,A,193,74,530,562
24737,07654.jpg,B,798,186,348,399
42486,12696.jpg,A,444,201,326,281
20742,30356.jpg,A,513,348,404,296
13206,32516.jpg,C,23,151,538,375
38966,19385.jpg,A,434,254,336,266
43704,65746.jpg,A,496,274,284,313
21611,62886.jpg,A,410,180,468,326
20885,37955.jpg,A,576,152,358,341
36098,80174.jpg,B,494,49,359,301
20520,84307.jpg,A,492,116,394,307
20592,46546.jpg,B,450,186,435,377
33088,71560.jpg,A,414,384,253,265
19816,79947.jpg,B,483,80,448,362
6398,73838.jpg,A,517,17,592,493
43857,66825.jpg,A,463,403,299,233
14771,73614.jpg,C,0,145,493,490
29969,51610.jpg,B,417,331,346,278
25851,33486.jpg,C,464,441,296,227
13181,60511.jpg,A,52,109,472,415
12793,85473.jpg,A,76,345,438,348
6366,21406.jpg,A,398,85,529,450
17395,03910.jpg,A,390,16,464,492
32570,29753.jpg,A,414,178,269,243
28638,96239.jpg,A,319,343,381,361
37515,19493.jpg,B,579,215,284,262
26266,54347.jpg,A,421,201,353,265
1586,06760.jpg,B,142,95,583,566
13307,04141.jpg,A,55,116,507,416
6786,29832.jpg,A,480,37,552,621
4224,88389.jpg,B,14,8,751,689
6444,86492.jpg,A,477,44,508,519
161,57337.jpg,A,250,47,596,631
40171,15900.jpg,A,330,324,422,392
39174,64713.jpg,A,259,74,589,425
10987,91174.jpg,A,390,166,346,276
40721,24277.jpg,A,488,288,263,225
15401,87846.jpg,A,350,31,587,592
4291,77332.jpg,C,9,2,939,696
11875,47597.jpg,A,153,266,427,354
27914,75377.jpg,A,362,226,434,381
4025,02719.jpg,B,6,5,681,598
21719,67193.jpg,A,470,84,455,367
21839,53309.jpg,A,438,196,478,303
23213,81640.jpg,A,189,57,490,354
28056,83501.jpg,B,411,127,306,440
6424,90368.jpg,A,516,12,522,553
44215,29508.jpg,B,398,219,438,315
32479,39576.jpg,A,373,184,278,257
12603,73784.jpg,A,176,237,363,303
18692,39561.jpg,A,522,255,368,376
23982,32512.jpg,B,462,167,351,363
6834,76674.jpg,C,398,9,617,711
1728,61444.jpg,B,200,34,555,572
14211,02368.jpg,B,3,287,452,367
27484,64567.jpg,C,290,47,584,445
7173,07886.jpg,C,491,5,614,710
25998,65211.jpg,C,418,225,356,270
3386,67598.jpg,A,68,18,825,702
11727,35557.jpg,B,177,272,393,269
23900,84903.jpg,B,774,116,330,457
37720,15409.jpg,A,583,255,258,240
2530,16158.jpg,A,2,321,374,333
44975,58486.jpg,C,475,241,309,239
3112,22601.jpg,A,13,2,855,718
14070,78575.jpg,B,86,210,441,435
9130,69247.jpg,A,393,350,316,249
37356,61662.jpg,A,570,167,292,271
24363,33531.jpg,A,662,143,353,404
23355,12081.jpg,A,276,12,469,361
20665,07968.jpg,A,485,212,491,354
36782,80933.jpg,B,509,23,382,298
8396,68650.jpg,B,400,407,323,241
42307,51116.jpg,B,489,351,271,223
31558,94401.jpg,C,433,183,307,230
37966,38203.jpg,A,542,78,384,299
4719,51936.jpg,A,3,3,700,631
23388,93942.jpg,A,255,60,461,373
8376,35048.jpg,A,428,460,286,224
13426,34439.jpg,B,73,32,548,426
42217,13759.jpg,B,427,274,338,237
13484,52668.jpg,A,33,92,451,469
11510,49689.jpg,B,378,164,326,255
2992,32724.jpg,A,56,3,901,717
6344,04368.jpg,C,205,195,455,503
4228,33867.jpg,A,4,5,835,715
9465,86891.jpg,A,414,174,348,250
646,16440.jpg,B,291,233,455,476
43445,02997.jpg,A,461,238,365,321
27212,25159.jpg,C,334,283,454,385
24277,96259.jpg,A,613,184,420,340
29265,03085.jpg,C,244,169,471,328
44386,63503.jpg,A,509,310,260,271
41710,14600.jpg,B,434,60,370,281
12100,94128.jpg,A,133,237,450,348
26089,88696.jpg,B,338,163,429,322
12080,56415.jpg,A,144,219,403,277
10874,42900.jpg,A,461,213,256,229
16992,22518.jpg,A,418,57,567,500
747,58751.jpg,A,263,194,465,500
4143,59126.jpg,A,2,4,757,716
9751,82837.jpg,A,425,360,314,261
16786,76189.jpg,A,442,80,586,449
26329,28850.jpg,C,444,192,336,278
32304,25615.jpg,A,214,168,486,362
18965,67643.jpg,A,489,217,441,362
34430,45554.jpg,A,145,17,782,676
556,88000.jpg,B,270,45,510,539
40385,25975.jpg,A,270,172,528,421
19494,01186.jpg,A,484,302,476,351
10409,59606.jpg,A,401,358,311,243
44598,24196.jpg,A,495,150,320,327
43647,68035.jpg,A,501,289,304,233
7243,08235.jpg,A,399,33,623,687
44112,13157.jpg,C,455,303,331,287
38358,05458.jpg,B,432,230,396,282
44303,93563.jpg,A,434,427,291,264
38866,64528.jpg,A,423,107,333,237
43179,99491.jpg,A,527,348,324,288
18598,60101.jpg,B,526,172,447,331
5915,00149.jpg,A,22,18,800,702
26171,69436.jpg,B,403,239,333,240
19498,44352.jpg,A,436,255,527,428
2461,62023.jpg,A,77,245,459,393
33840,39211.jpg,A,382,128,287,275
21368,44510.jpg,A,413,51,440,335
41387,03659.jpg,A,539,382,190,206
26055,62845.jpg,B,375,218,392,294
5663,30189.jpg,A,5,11,637,709
13275,60054.jpg,B,48,153,517,389
4288,61621.jpg,B,12,12,708,623
11723,64304.jpg,B,125,334,428,252
41962,35354.jpg,B,449,380,296,215
27677,41186.jpg,C,294,41,512,426
39908,95491.jpg,A,256,152,586,516
39436,48752.jpg,A,303,129,465,545
18817,10861.jpg,B,470,80,519,402
30935,47251.jpg,A,491,126,404,204
12888,69844.jpg,A,66,138,442,365
21897,18442.jpg,A,383,100,455,401
26466,94979.jpg,A,450,164,398,330
32456,74678.jpg,A,385,257,252,229
34053,55066.jpg,A,354,167,323,365
35579,04518.jpg,A,218,122,751,548
698,48599.jpg,A,126,253,473,412
30950,43595.jpg,C,486,149,444,334
26542,04716.jpg,B,307,80,448,322
40919,06735.jpg,A,488,338,240,207
17461,13568.jpg,A,488,20,385,473
16837,19279.jpg,A,600,188,442,508
20734,95842.jpg,A,545,29,372,294
40008,15401.jpg,A,266,85,566,508
11460,01081.jpg,C,363,217,349,272
22088,25732.jpg,A,377,46,505,388
8972,15666.jpg,B,425,267,332,281
5474,63382.jpg,A,3,3,602,700
7361,49423.jpg,B,407,25,807,675
17837,49409.jpg,A,427,79,417,453
10569,92734.jpg,A,442,218,278,229
7129,55450.jpg,A,273,6,707,706
26824,88646.jpg,A,346,64,445,336
22724,03455.jpg,A,277,10,458,341
25254,75056.jpg,A,520,183,415,411
4503,08233.jpg,C,18,3,773,717
38121,61305.jpg,A,569,212,303,213
23679,03183.jpg,A,331,157,389,346
28155,31916.jpg,A,285,144,530,450
6893,76977.jpg,A,335,51,762,563
4135,24121.jpg,B,5,4,718,716
5639,72597.jpg,A,5,16,774,704
30106,34532.jpg,A,615,86,365,239
21441,74462.jpg,A,501,93,429,303
40805,52938.jpg,A,456,230,308,241
27882,02281.jpg,B,282,170,471,383
9401,56056.jpg,A,401,345,307,251
29644,15092.jpg,A,294,440,319,269
20977,96150.jpg,A,565,194,297,307
30887,58554.jpg,C,447,240,414,306
6439,20665.jpg,A,286,22,607,567
28420,93887.jpg,C,268,291,469,346
20687,65436.jpg,B,492,267,456,359
11772,30203.jpg,B,153,231,442,316
28917,76463.jpg,C,109,187,565,327
18695,62080.jpg,A,443,377,475,335
43596,40666.jpg,A,504,348,279,288
1448,85020.jpg,A,108,126,510,567
12904,94890.jpg,A,2,230,424,373
36864,76448.jpg,A,605,118,245,292
26313,02518.jpg,A,354,59,405,305
19705,96398.jpg,C,525,58,418,321
38239,72354.jpg,A,448,58,355,324
34352,93861.jpg,A,297,58,742,582
580,91946.jpg,A,229,179,482,491
19792,84650.jpg,A,527,86,374,363
27921,92387.jpg,A,362,253,469,378
28439,54486.jpg,C,299,197,436,378
38495,71718.jpg,A,409,125,392,269
38648,95323.jpg,A,409,160,350,262
33219,28822.jpg,A,409,367,254,282
37072,42939.jpg,B,556,131,329,250
2208,21563.jpg,B,251,31,507,489
18087,47527.jpg,A,387,156,560,408
26693,45903.jpg,B,343,98,410,355
643,97304.jpg,B,270,77,539,577
43872,42182.jpg,A,414,325,397,286
34927,88159.jpg,A,250,3,640,669
28430,65177.jpg,C,218,254,493,374
7424,37502.jpg,A,385,7,647,681
4702,63078.jpg,C,38,21,835,699
35243,83828.jpg,A,193,42,741,636
